species,chestoberry,choiceband,leftovers,liechiberry,lightball,lumberry,metalpowder,petayaberry,quickclaw,salacberry,souldew,stick,thickclub,twistedspoon,whiteherb
hariyama,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
heracross,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
hitmonchan,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hitmonlee,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
hitmontop,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
hooh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
houndoom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
huntail,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
hypno,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
illumise,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jirachi,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
jolteon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jumpluff,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jynx,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
kabutops,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
kangaskhan,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
kecleon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
kingdra,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
kingler,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kyogre,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lanturn,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lapras,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
latias,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
latios,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ledian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lickitung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
linoone,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ludicolo,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
lugia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lunatone,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
luvdisc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
machamp,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
magcargo,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
magmar,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
magneton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
manectric,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
mantine,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
marowak,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
masquerain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mawile,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
medicham,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
meganium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
metagross,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mew,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mewtwo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mightyena,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
milotic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
miltank,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
minun,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
misdreavus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moltres,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mrmime,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
muk,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
murkrow,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nidoking,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nidoqueen,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ninetales,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ninjask,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
noctowl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nosepass,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
octillery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
omastar,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
parasect,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pelipper,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
persian,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pidgeot,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pikachu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
piloswine,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pinsir,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
plusle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
politoed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
poliwrath,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
porygon2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
primeape,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
quagsire,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
qwilfish,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
raichu,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
raikou,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
rapidash,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
raticate,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
rayquaza,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
regice,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
regirock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
registeel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
relicanth,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rhydon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
roselia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sableye,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
salamence,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
sandslash,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
sceptile,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
scizor,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
scyther,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
seaking,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
seviper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sharpedo,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
shedinja,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
shiftry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
shuckle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skarmory,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slaking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
slowbro,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slowking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
smeargle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sneasel,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
snorlax,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
solrock,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
spinda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stantler,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
starmie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
steelix,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sudowoodo,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
suicune,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sunflora,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
swalot,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
swampert,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
swellow,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tangela,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tauros,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tentacruel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
togetic,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
torkoal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tropius,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
typhlosion,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tyranitar,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
umbreon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ursaring,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
vaporeon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
venomoth,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
venusaur,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
victreebel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vigoroth,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
vileplume,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
volbeat,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wailord,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
walrein,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
weezing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
whiscash,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
wigglytuff,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wobbuffet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
xatu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yanma,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
zangoose,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
zapdos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
